tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_name,winner_id,winner_rank,winner_rank_points,winner_age,loser_name,loser_id,loser_rank,loser_rank_points,loser_age,stronger_rank,weaker_rank,rank_gap_abs,points_diff,age_diff,best_of,stronger_win
2019-M020,Brisbane,Hard,32,A,20181231,300,Kei Nishikori,105453,9.0,3590.0,29.0,Daniil Medvedev,106421,16.0,1977.0,22.8,9.0,16.0,7.0,1613.0,6.199999999999999,3,1
2019-M020,Brisbane,Hard,32,A,20181231,299,Daniil Medvedev,106421,16.0,1977.0,22.8,Jo-Wilfried Tsonga,104542,239.0,200.0,33.7,16.0,239.0,223.0,1777.0,-10.900000000000002,3,1
2019-M020,Brisbane,Hard,32,A,20181231,298,Kei Nishikori,105453,9.0,3590.0,29.0,Jeremy Chardy,104871,40.0,1050.0,31.8,9.0,40.0,31.0,2540.0,-2.8000000000000007,3,1
2019-M020,Brisbane,Hard,32,A,20181231,297,Jo-Wilfried Tsonga,104542,239.0,200.0,33.7,Alex De Minaur,200282,31.0,1298.0,19.8,31.0,239.0,208.0,-1098.0,13.900000000000002,3,0
2019-M020,Brisbane,Hard,32,A,20181231,296,Daniil Medvedev,106421,16.0,1977.0,22.8,Milos Raonic,105683,18.0,1855.0,28.0,16.0,18.0,2.0,122.0,-5.199999999999999,3,1
2019-M020,Brisbane,Hard,32,A,20181231,295,Jeremy Chardy,104871,40.0,1050.0,31.8,Yasutaka Uchiyama,106034,185.0,275.0,26.4,40.0,185.0,145.0,775.0,5.400000000000002,3,1
2019-M020,Brisbane,Hard,32,A,20181231,294,Kei Nishikori,105453,9.0,3590.0,29.0,Grigor Dimitrov,105777,19.0,1835.0,27.6,9.0,19.0,10.0,1755.0,1.3999999999999986,3,1
2019-M020,Brisbane,Hard,32,A,20181231,293,Jo-Wilfried Tsonga,104542,239.0,200.0,33.7,Taro Daniel,106121,77.0,691.0,25.9,77.0,239.0,162.0,-491.0,7.800000000000004,3,0
2019-M020,Brisbane,Hard,32,A,20181231,292,Alex De Minaur,200282,31.0,1298.0,19.8,Jordan Thompson,111442,72.0,715.0,24.6,31.0,72.0,41.0,583.0,-4.800000000000001,3,1
2019-M020,Brisbane,Hard,32,A,20181231,291,Daniil Medvedev,106421,16.0,1977.0,22.8,Andy Murray,104918,240.0,200.0,31.6,16.0,240.0,224.0,1777.0,-8.8,3,1
2019-M020,Brisbane,Hard,32,A,20181231,290,Milos Raonic,105683,18.0,1855.0,28.0,Miomir Kecmanovic,200175,131.0,433.0,19.3,18.0,131.0,113.0,1422.0,8.7,3,1
